customer_id,timestamp,channel,query_text,intent,entities,response_text,sentiment,resolution_status
C1071,2025-05-04T17:17:00Z,email,Query related to check order status for order #94816.,Check Order Status,{'order_id': '94816'},Your order #94816 was shipped and will arrive soon.,Positive,Pending
C1072,2025-05-05T14:01:00Z,chat,Query related to check order status for order #98546.,Check Order Status,{'order_id': '98546'},Your order #98546 was shipped and will arrive soon.,Neutral,Yes
C1073,2025-05-05T20:35:00Z,web form,Query related to report wrong item for order #90960.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,No
C1074,2025-05-05T05:01:00Z,chat,Query related to cancel order for order #92118.,Cancel Order,{'order_id': '92118'},Your cancellation request for order #92118 has been processed.,Neutral,No
C1075,2025-05-03T15:34:00Z,web form,Query related to reset password for order #96194.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,No
C1076,2025-05-04T04:54:00Z,web form,Query related to track shipment for order #97423.,Track Shipment,{'order_id': '97423'},You can track your shipment with this link: https://example.com/track/97423,Neutral,Yes
C1077,2025-05-05T23:15:00Z,web form,Query related to cancel order for order #90037.,Cancel Order,{'order_id': '90037'},Your cancellation request for order #90037 has been processed.,Neutral,Yes
C1078,2025-05-05T20:28:00Z,email,Query related to report wrong item for order #91310.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,Pending
C1079,2025-05-05T19:40:00Z,web form,Query related to reset password for order #93661.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Neutral,Pending
C1080,2025-05-03T15:04:00Z,email,Query related to reset password for order #91271.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,Pending
C1081,2025-05-02T10:17:00Z,chat,Query related to check order status for order #98330.,Check Order Status,{'order_id': '98330'},Your order #98330 was shipped and will arrive soon.,Negative,Yes
C1082,2025-05-06T04:30:00Z,web form,Query related to check order status for order #99656.,Check Order Status,{'order_id': '99656'},Your order #99656 was shipped and will arrive soon.,Negative,Yes
C1083,2025-05-08T03:30:00Z,chat,Query related to check order status for order #91222.,Check Order Status,{'order_id': '91222'},Your order #91222 was shipped and will arrive soon.,Neutral,Pending
C1084,2025-05-02T14:36:00Z,web form,Query related to change address for order #99592.,Change Address,{},Your delivery address has been updated for order #99592.,Negative,Yes
C1085,2025-05-02T05:45:00Z,email,Query related to report wrong item for order #91972.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Negative,No
C1086,2025-05-07T09:05:00Z,chat,Query related to track shipment for order #99185.,Track Shipment,{'order_id': '99185'},You can track your shipment with this link: https://example.com/track/99185,Neutral,No
C1087,2025-05-01T17:39:00Z,chat,Query related to track shipment for order #92881.,Track Shipment,{'order_id': '92881'},You can track your shipment with this link: https://example.com/track/92881,Positive,Yes
C1088,2025-05-02T11:13:00Z,email,Query related to report wrong item for order #95094.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Positive,No
C1089,2025-05-02T03:09:00Z,web form,Query related to reset password for order #90835.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Neutral,Pending
C1090,2025-05-05T11:38:00Z,email,Query related to report wrong item for order #97935.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Positive,No
C1091,2025-05-04T14:45:00Z,web form,Query related to report wrong item for order #95750.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,Pending
C1092,2025-05-01T15:10:00Z,web form,Query related to cancel order for order #95357.,Cancel Order,{'order_id': '95357'},Your cancellation request for order #95357 has been processed.,Positive,Pending
C1093,2025-05-04T01:58:00Z,email,Query related to cancel order for order #93346.,Cancel Order,{'order_id': '93346'},Your cancellation request for order #93346 has been processed.,Positive,Yes
C1094,2025-05-06T10:03:00Z,chat,Query related to reset password for order #90334.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,Pending
C1095,2025-05-01T11:40:00Z,chat,Query related to change address for order #98092.,Change Address,{},Your delivery address has been updated for order #98092.,Positive,Yes
C1096,2025-05-03T15:37:00Z,chat,Query related to check order status for order #99768.,Check Order Status,{'order_id': '99768'},Your order #99768 was shipped and will arrive soon.,Neutral,Pending
C1097,2025-05-05T00:41:00Z,web form,Query related to reset password for order #95176.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Neutral,No
C1098,2025-05-03T07:19:00Z,email,Query related to cancel order for order #90201.,Cancel Order,{'order_id': '90201'},Your cancellation request for order #90201 has been processed.,Negative,Pending
C1099,2025-05-03T19:14:00Z,chat,Query related to reset password for order #94924.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Neutral,Pending
